<Serial>,<OnboardMAC1>,<OnboardMAC2>,<IPMIMAC>
# Lists of eth addresses for uTCA and related HW (PSU, etc...)

# uTCA TCDS crates in S1E01
# Crate in U26
AMC9812,0C:05:04:03:09:AC
AMC98131,0C:05:04:03:09:AD
AMC98132,0C:05:04:03:09:AE
# uTCA crate in S2F04 U29
# 0C:05:04:03:09:B0
MCH9901,00:40:42:0B:20:DB
AMC9901,0C:05:04:03:09:B1
AMC9902,0C:05:04:03:09:B2
AMC9903,0C:05:04:03:09:B3
AMC9904,0C:05:04:03:09:B4
AMC9905,0C:05:04:03:09:B5
AMC9906,0C:05:04:03:09:B6
AMC9907,0C:05:04:03:09:B7
AMC9908,0C:05:04:03:09:B8
AMC9909,0C:05:04:03:09:B9
AMC9910,0C:05:04:03:09:BA
AMC9911,0C:05:04:03:09:BB
AMC9912,0C:05:04:03:09:BC
AMC99131,0C:05:04:03:09:BD
AMC99132,0C:05:04:03:09:BE
# uTCA crate in S2F05 U20
# 0C:05:04:03:05:9
MCH3501,00:40:42:0B:1B:01
AMC3501,08:00:30:00:28:3C
AMC3502,08:00:30:00:23:F3
AMC3503,08:00:30:00:23:F4
AMC3504,0C:05:04:03:05:94
AMC3505,0C:05:04:03:05:95
AMC3506,0C:05:04:03:05:96
AMC3507,0C:05:04:03:05:97
AMC3508,0C:05:04:03:05:98
AMC3509,0C:05:04:03:05:99
AMC3510,0C:05:04:03:05:9A
AMC3511,0C:05:04:03:05:9B
AMC3512,0C:05:04:03:05:9C
AMC35131,0C:05:04:03:05:9D
AMC35132,0C:05:04:03:05:9E
# uTCA crate in S2F05 U28
# 0C:05:04:03:09:1
MCH9001,00:40:42:0B:20:D9
AMC9001,08:00:30:00:23:F2
AMC9002,08:00:30:00:23:F5
AMC9003,08:00:30:00:23:EE
AMC9004,08:00:30:00:28:1B
AMC9005,08:00:30:00:28:30
AMC9006,08:00:30:00:28:36
AMC9007,08:00:30:00:23:F1
AMC9008,08:00:30:00:23:EF
AMC9009,08:00:30:00:28:37
AMC9010,08:00:30:00:28:3A
AMC9011,0C:05:04:03:09:1B
AMC9012,0C:05:04:03:09:1C
AMC90131,0C:05:04:03:09:1D
AMC90132,0C:05:04:03:09:1E
# uTCA crate in S2F06 U17
# 0C:05:04:03:05:4
MCH3001,00:40:42:0B:1A:E9
AMC3001,0C:05:04:03:05:41
AMC3002,0C:05:04:03:05:42
AMC3003,0C:05:04:03:05:43
AMC3004,0C:05:04:03:05:44
AMC3005,0C:05:04:03:05:45
AMC3006,0C:05:04:03:05:46
AMC3007,0C:05:04:03:05:47
AMC3008,0C:05:04:03:05:48
AMC3009,0C:05:04:03:05:49
AMC3010,0C:05:04:03:05:4A
AMC3011,0C:05:04:03:05:4B
